TimeSlice	Time	LH_GemellusSuperior	LH_GemellusSuperior
155	0.0837	0.0130294	87.3169
156	0.08424	0.0130296	87.3151
157	0.08478	0.0130297	87.3129
158	0.08532	0.0130299	87.3104
159	0.08586	0.0130301	87.3076
160	0.0864	0.0130304	87.3045
161	0.08694	0.0130307	87.301
162	0.08748	0.0130309	87.2973
163	0.08802	0.0130313	87.2933
164	0.08856	0.0130316	87.289
165	0.0891	0.0130319	87.2843
166	0.08964	0.0130323	87.2794
167	0.09018	0.0130327	87.2742
168	0.09072	0.0130332	87.2687
169	0.09126	0.0130336	87.2628
170	0.0918	0.0130341	87.2566
171	0.09234	0.0130346	87.2502
172	0.09288	0.0130351	87.2434
173	0.09342	0.0130357	87.2363
174	0.09396	0.0130362	87.2288
175	0.0945	0.0130368	87.221
176	0.09504	0.0130375	87.2128
177	0.09558	0.0130381	87.2044
178	0.09612	0.0130388	87.1955
179	0.09666	0.0130395	87.1863
180	0.0972	0.0130403	87.1767
181	0.09774	0.013041	87.1667
182	0.09828	0.0130418	87.1564
183	0.09882	0.0130427	87.1457
184	0.09936	0.0130435	87.1346
185	0.0999	0.0130444	87.1232
186	0.10044	0.0130453	87.1115
187	0.10098	0.0130462	87.0995
188	0.10152	0.0130472	87.0871
189	0.10206	0.0130481	87.0745
190	0.1026	0.0130491	87.0617
191	0.10314	0.0130501	87.0487
192	0.10368	0.0130512	87.0354
193	0.10422	0.0130522	87.0219
194	0.10476	0.0130532	87.0082
195	0.1053	0.0130543	86.9944
196	0.10584	0.0130554	86.9804
197	0.10638	0.0130564	86.9663
198	0.10692	0.0130575	86.9521
199	0.10746	0.0130586	86.9378
200	0.108	0.0130597	86.9234
201	0.10854	0.0130608	86.909
202	0.10908	0.0130619	86.8944
203	0.10962	0.0130631	86.8799
204	0.11016	0.0130642	86.8652
205	0.1107	0.0130653	86.8506
206	0.11124	0.0130664	86.836
207	0.11178	0.0130675	86.8213
208	0.11232	0.0130686	86.8067
209	0.11286	0.0130698	86.7921
210	0.1134	0.0130709	86.7775
211	0.11394	0.013072	86.7631
212	0.11448	0.0130731	86.7486
213	0.11502	0.0130741	86.7342
214	0.11556	0.0130752	86.72
215	0.1161	0.0130763	86.7058
216	0.11664	0.0130774	86.6918
217	0.11718	0.0130784	86.6779
218	0.11772	0.0130795	86.6641
219	0.11826	0.0130805	86.6504
220	0.1188	0.0130815	86.637
221	0.11934	0.0130825	86.6236
222	0.11988	0.0130835	86.6105
223	0.12042	0.0130845	86.5976
224	0.12096	0.0130855	86.5849
225	0.1215	0.0130864	86.5723
226	0.12204	0.0130873	86.56
227	0.12258	0.0130882	86.5479
228	0.12312	0.0130891	86.536
229	0.12366	0.01309	86.5244
230	0.1242	0.0130909	86.513
231	0.12474	0.0130917	86.5019
232	0.12528	0.0130925	86.4911
233	0.12582	0.0130933	86.4805
234	0.12636	0.0130941	86.4702
235	0.1269	0.0130948	86.4602
236	0.12744	0.0130956	86.4505
237	0.12798	0.0130963	86.4411
238	0.12852	0.013097	86.4319
239	0.12906	0.0130976	86.4231
240	0.1296	0.0130983	86.4146
241	0.13014	0.0130989	86.4064
242	0.13068	0.0130995	86.3985
243	0.13122	0.0131	86.3909
244	0.13176	0.0131006	86.3837
245	0.1323	0.0131011	86.3768
246	0.13284	0.0131016	86.3702
247	0.13338	0.0131021	86.3639
248	0.13392	0.0131025	86.358
249	0.13446	0.0131029	86.3524
250	0.135	0.0131033	86.3472
251	0.13554	0.0131037	86.3423
252	0.13608	0.013104	86.3376
253	0.13662	0.0131044	86.3334
254	0.13716	0.0131046	86.3294
255	0.1377	0.0131049	86.3258
256	0.13824	0.0131052	86.3225
257	0.13878	0.0131054	86.3195
258	0.13932	0.0131056	86.3168
259	0.13986	0.0131058	86.3145
260	0.1404	0.0131059	86.3124
261	0.14094	0.013106	86.3107
262	0.14148	0.0131062	86.3092
263	0.14202	0.0131062	86.3081
264	0.14256	0.0131063	86.3072
265	0.1431	0.0131064	86.3066
266	0.14364	0.0131064	86.3064
267	0.14418	0.0131064	86.3063
268	0.14472	0.0131064	86.3066
269	0.14526	0.0131063	86.3071
270	0.1458	0.0131063	86.3078
271	0.14634	0.0131062	86.3089
272	0.14688	0.0131061	86.3101
273	0.14742	0.013106	86.3116
274	0.14796	0.0131059	86.3133
275	0.1485	0.0131057	86.3152
276	0.14904	0.0131056	86.3173
277	0.14958	0.0131054	86.3196
278	0.15012	0.0131052	86.3221
279	0.15066	0.013105	86.3248
280	0.1512	0.0131048	86.3276
281	0.15174	0.0131046	86.3306
282	0.15228	0.0131043	86.3337
283	0.15282	0.0131041	86.337
284	0.15336	0.0131038	86.3403
285	0.1539	0.0131036	86.3438
286	0.15444	0.0131033	86.3473
287	0.15498	0.013103	86.3509
288	0.15552	0.0131028	86.3546
289	0.15606	0.0131025	86.3583
290	0.1566	0.0131022	86.362
291	0.15714	0.0131019	86.3658
292	0.15768	0.0131016	86.3695
293	0.15822	0.0131014	86.3732
294	0.15876	0.0131011	86.377
295	0.1593	0.0131008	86.3806
296	0.15984	0.0131005	86.3843
297	0.16038	0.0131003	86.3879
298	0.16092	0.0131	86.3914
299	0.16146	0.0130998	86.3948
300	0.162	0.0130995	86.3982
301	0.16254	0.0130993	86.4015
302	0.16308	0.013099	86.4047
303	0.16362	0.0130988	86.4078
304	0.16416	0.0130986	86.4109
305	0.1647	0.0130983	86.4137
306	0.16524	0.0130981	86.4165
307	0.16578	0.0130979	86.4192
308	0.16632	0.0130977	86.4218
309	0.16686	0.0130975	86.4243
310	0.1674	0.0130974	86.4266
311	0.16794	0.0130972	86.4288
312	0.16848	0.013097	86.4309
313	0.16902	0.0130969	86.4329
314	0.16956	0.0130968	86.4347
315	0.1701	0.0130966	86.4364
316	0.17064	0.0130965	86.4381
317	0.17118	0.0130964	86.4395
318	0.17172	0.0130963	86.4409
319	0.17226	0.0130962	86.4422
320	0.1728	0.0130961	86.4433
321	0.17334	0.013096	86.4443
322	0.17388	0.013096	86.4452
323	0.17442	0.0130959	86.446
324	0.17496	0.0130959	86.4467
325	0.1755	0.0130958	86.4473
326	0.17604	0.0130958	86.4478
327	0.17658	0.0130958	86.4481
328	0.17712	0.0130957	86.4484
329	0.17766	0.0130957	86.4486
330	0.1782	0.0130957	86.4487
331	0.17874	0.0130957	86.4487
332	0.17928	0.0130957	86.4486
333	0.17982	0.0130957	86.4484
334	0.18036	0.0130958	86.4481
335	0.1809	0.0130958	86.4478
336	0.18144	0.0130958	86.4473
337	0.18198	0.0130959	86.4468
338	0.18252	0.0130959	86.4462
339	0.18306	0.0130959	86.4455
340	0.1836	0.013096	86.4448
341	0.18414	0.0130961	86.4439
342	0.18468	0.0130961	86.443
343	0.18522	0.0130962	86.442
344	0.18576	0.0130963	86.441
345	0.1863	0.0130964	86.4399
346	0.18684	0.0130965	86.4387
347	0.18738	0.0130966	86.4374
348	0.18792	0.0130967	86.4361
349	0.18846	0.0130968	86.4347
350	0.189	0.0130969	86.4333
351	0.18954	0.013097	86.4318
352	0.19008	0.0130971	86.4302
353	0.19062	0.0130972	86.4286
354	0.19116	0.0130973	86.427
355	0.1917	0.0130975	86.4252
356	0.19224	0.0130976	86.4235
357	0.19278	0.0130977	86.4217
358	0.19332	0.0130979	86.4199
359	0.19386	0.013098	86.418
360	0.1944	0.0130982	86.4161
361	0.19494	0.0130983	86.4141
362	0.19548	0.0130985	86.4121
363	0.19602	0.0130986	86.4101
364	0.19656	0.0130988	86.4081
365	0.1971	0.0130989	86.4061
366	0.19764	0.0130991	86.404
367	0.19818	0.0130992	86.4019
368	0.19872	0.0130994	86.3999
369	0.19926	0.0130995	86.3978
370	0.1998	0.0130997	86.3957
371	0.20034	0.0130998	86.3937
372	0.20088	0.0131	86.3916
373	0.20142	0.0131001	86.3896
374	0.20196	0.0131003	86.3875
375	0.2025	0.0131004	86.3855
376	0.20304	0.0131006	86.3835
377	0.20358	0.0131007	86.3815
378	0.20412	0.0131009	86.3796
379	0.20466	0.013101	86.3777
380	0.2052	0.0131012	86.3758
381	0.20574	0.0131013	86.3739
382	0.20628	0.0131015	86.3721
383	0.20682	0.0131016	86.3704
384	0.20736	0.0131017	86.3686
385	0.2079	0.0131018	86.3669
386	0.20844	0.013102	86.3653
387	0.20898	0.0131021	86.3637
388	0.20952	0.0131022	86.3621
389	0.21006	0.0131023	86.3606
390	0.2106	0.0131024	86.3592
391	0.21114	0.0131025	86.3578
392	0.21168	0.0131026	86.3564
393	0.21222	0.0131027	86.3551
394	0.21276	0.0131028	86.3539
395	0.2133	0.0131029	86.3527
396	0.21384	0.013103	86.3515
397	0.21438	0.0131031	86.3504
398	0.21492	0.0131032	86.3494
399	0.21546	0.0131032	86.3484
400	0.216	0.0131033	86.3475
401	0.21654	0.0131034	86.3466
402	0.21708	0.0131034	86.3458
403	0.21762	0.0131035	86.3451
404	0.21816	0.0131035	86.3444
405	0.2187	0.0131036	86.3437
406	0.21924	0.0131036	86.3432
407	0.21978	0.0131037	86.3426
408	0.22032	0.0131037	86.3422
409	0.22086	0.0131037	86.3418
410	0.2214	0.0131038	86.3414
411	0.22194	0.0131038	86.3411
412	0.22248	0.0131038	86.3409
413	0.22302	0.0131038	86.3407
414	0.22356	0.0131038	86.3406
415	0.2241	0.0131038	86.3405
