TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
44	0.02376	0.0121607	0.0228938	0.00310809	0.00673944	0.443823	0.00150794	0.0330961	0.0290491	0	0	0
45	0.0243	0.0124051	0.0256789	0.00335916	0.00691115	0.441653	0.00222678	0.0336293	0.0392651	0	0	0
46	0.02484	0.012713	0.028761	0.00362888	0.00707934	0.43849	0.00282707	0.0343296	0.0615996	0	0	0
47	0.02538	0.0130738	0.0318545	0.00389181	0.00724445	0.434564	0.00326121	0.0351654	0.0937267	0	0	0
48	0.02592	0.0134717	0.0346743	0.00412021	0.00740726	0.430102	0.0034573	0.0360909	0.13246	0	0	0
49	0.02646	0.0138842	0.0369212	0.00429081	0.00756874	0.425466	0.00341543	0.0370442	0.173736	0	0	0
50	0.027	0.0142876	0.0383682	0.00438318	0.00772995	0.420972	0.00310327	0.03796	0.213363	0	0	0
51	0.02754	0.0146558	0.0388255	0.00438745	0.00789187	0.417004	0.00260392	0.0387683	0.247332	0	0	0
52	0.02808	0.0149672	0.0382548	0.00429937	0.00805527	0.413793	0.00191034	0.0394125	0.272568	0	0	0
53	0.02862	0.0152031	0.0366724	0.00412269	0.00822065	0.411601	0.00109607	0.0398437	0.286916	0	0	0
54	0.02916	0.0153499	0.0341784	0.00387266	0.00838839	0.410519	0.000255318	0.0400286	0.288915	0	0	0
55	0.0297	0.0154035	0.03101	0.00356876	0.00855849	0.410608	0	0.0399604	0.278731	0	0	0
56	0.03024	0.0153663	0.0274213	0.0032329	0.00873085	0.411752	0	0.0396498	0.257158	0	0	0
57	0.03078	0.0152461	0.0236757	0.00288997	0.00890518	0.413849	0	0.039122	0.225689	0	0	0
58	0.03132	0.0150574	0.0200533	0.00256753	0.00908105	0.416653	0	0.0384198	0.186592	0	0	0
59	0.03186	0.014821	0.0168544	0.00229327	0.00925795	0.419908	0	0.0376027	0.142825	0	0	0
60	0.0324	0.0145624	0.0143695	0.00209597	0.00943495	0.423218	0	0.0367417	0.0982549	0	0	0
61	0.03294	0.0143132	0.0128972	0.00199283	0.00961082	0.426199	0	0.0359217	0.0575284	0	0	0
62	0.03348	0.0141013	0.0125719	0.00199229	0.00978433	0.428432	0	0.0352166	0.0250789	0	0	0
63	0.03402	0.0139508	0.0134155	0.00208683	0.00995441	0.429661	0	0.0346884	0.00444575	0	0	0
64	0.03456	0.0138749	0.0152547	0.00225803	0.0101203	0.429714	0.000174581	0.0343693	0	0	0	0
65	0.0351	0.0138774	0.0178092	0.00248516	0.0102818	0.428614	0.000962938	0.0342656	0.00510627	0	0	0
66	0.03564	0.0139564	0.0208007	0.00274404	0.0104389	0.426399	0.00166454	0.0343678	0.0258208	0	0	0
67	0.03618	0.0141031	0.0239375	0.00300907	0.010592	0.423288	0.00222481	0.0346491	0.0578408	0	0	0
68	0.03672	0.0143033	0.0269299	0.00325098	0.0107418	0.41948	0.00254393	0.0350687	0.0982718	0	0	0
69	0.03726	0.0145351	0.0294511	0.00344401	0.0108891	0.415333	0.00262855	0.0356746	0.143005	0	0	0
70	0.0378	0.0147739	0.0312454	0.00356418	0.0110351	0.411174	0.00242535	0.0364101	0.187656	0	0	0
71	0.03834	0.0149918	0.0320834	0.00359831	0.0111808	0.407417	0.00202279	0.0371833	0.227872	0	0	0
72	0.03888	0.0151652	0.0318874	0.00353959	0.0113269	0.40432	0.0014059	0.0379272	0.260175	0	0	0
73	0.03942	0.0152723	0.0306476	0.00338875	0.0114739	0.402166	0.000642374	0.038564	0.282075	0	0	0
