TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
2622	1.41588	1.17911	1.3338	0.365272
2641	1.42614	1.17921	1.33385	0.365272
2660	1.4364	1.1793	1.33391	0.365272
2679	1.44666	1.17939	1.33397	0.365272
2698	1.45692	1.17949	1.33403	0.365272
2717	1.46718	1.17959	1.33408	0.365272
2736	1.47744	1.17968	1.33414	0.365272
2755	1.4877	1.17978	1.3342	0.365272
2774	1.49796	1.17987	1.33426	0.365272
2793	1.50822	1.17997	1.33432	0.365272
2812	1.51848	1.18006	1.33437	0.365272
2831	1.52874	1.18016	1.33443	0.365272
2850	1.539	1.18025	1.33449	0.365272
2869	1.54926	1.18031	1.33452	0.365274
2888	1.55952	1.18031	1.33452	0.365273
2907	1.56978	1.18031	1.33452	0.365273
2926	1.58004	1.18032	1.33452	0.365273
2945	1.5903	1.18032	1.33452	0.365273
2964	1.60056	1.18032	1.33452	0.365272
2983	1.61082	1.18032	1.33452	0.365272
3002	1.62108	1.18033	1.33453	0.365272
3021	1.63134	1.18033	1.33453	0.365272
3040	1.6416	1.18032	1.33452	0.365274
3059	1.65186	1.18033	1.33452	0.365274
3078	1.66212	1.18033	1.33453	0.365274
3097	1.67238	1.18033	1.33453	0.365274
3116	1.68264	1.18033	1.33453	0.365274
3135	1.6929	1.18034	1.33453	0.365273
3154	1.70316	1.18034	1.33453	0.365273
3173	1.71342	1.18034	1.33453	0.365273
3192	1.72368	1.18035	1.33453	0.365272
3211	1.73394	1.18035	1.33454	0.365272
3230	1.7442	1.18034	1.33453	0.365274
3249	1.75446	1.18027	1.33449	0.365237
3268	1.76472	1.17989	1.33428	0.365059
3287	1.77498	1.17931	1.33395	0.364813
3306	1.78524	1.17856	1.33351	0.364498
3325	1.7955	1.17764	1.33296	0.364111
3344	1.80576	1.17655	1.33231	0.363668
3363	1.81602	1.17531	1.33157	0.363167
3382	1.82628	1.17393	1.33074	0.36261
3401	1.83654	1.17241	1.32983	0.362002
3420	1.8468	1.17076	1.32884	0.361346
3439	1.85706	1.169	1.32777	0.360646
3458	1.86732	1.16713	1.32664	0.359909
3477	1.87758	1.16516	1.32545	0.359129
3496	1.88784	1.16309	1.32419	0.358313
3515	1.8981	1.16095	1.32289	0.357466
3534	1.90836	1.15872	1.32154	0.356591
3553	1.91862	1.15642	1.32014	0.35569
3572	1.92888	1.15407	1.31871	0.354765
3591	1.93914	1.15165	1.31724	0.353821
3610	1.9494	1.14919	1.31574	0.352858
3629	1.95966	1.14669	1.31421	0.35188
3648	1.96992	1.14414	1.31265	0.350889
3667	1.98018	1.14156	1.31108	0.349892
3686	1.99044	1.13896	1.30948	0.34888
3705	2.0007	1.13633	1.30787	0.347862
3724	2.01096	1.13368	1.30625	0.346836
3743	2.02122	1.13102	1.30461	0.345806
3762	2.03148	1.12834	1.30297	0.344773
3781	2.04174	1.12566	1.30132	0.343737
3800	2.052	1.12297	1.29966	0.342707
3819	2.06226	1.12027	1.298	0.341673
3838	2.07252	1.11758	1.29634	0.340638
3857	2.08278	1.11488	1.29467	0.339606
3876	2.09304	1.11219	1.29301	0.338577
3895	2.1033	1.10951	1.29135	0.337557
3914	2.11356	1.10683	1.28969	0.336535
3933	2.12382	1.10416	1.28804	0.33552
3952	2.13408	1.1015	1.28639	0.334508
3971	2.14434	1.09885	1.28475	0.333503
3990	2.1546	1.09622	1.28311	0.332509
4009	2.16486	1.0936	1.28148	0.331516
4028	2.17512	1.09099	1.27986	0.330532
4047	2.18538	1.0884	1.27825	0.329553
4066	2.19564	1.08582	1.27664	0.328582
4085	2.2059	1.08326	1.27504	0.327624
4104	2.21616	1.08072	1.27346	0.326669
4123	2.22642	1.0782	1.27188	0.325722
4142	2.23668	1.07569	1.27031	0.324783
4161	2.24694	1.07321	1.26876	0.323852
4180	2.2572	1.07074	1.26721	0.322935
4199	2.26746	1.06829	1.26567	0.322022
4218	2.27772	1.06586	1.26415	0.321116
4237	2.28798	1.06345	1.26264	0.320219
4256	2.29824	1.06106	1.26113	0.319336
4275	2.3085	1.05869	1.25964	0.318456
4294	2.31876	1.05634	1.25816	0.317585
4313	2.32902	1.05401	1.2567	0.316723
4332	2.33928	1.0517	1.25524	0.315868
4351	2.34954	1.04941	1.25379	0.315028
4370	2.3598	1.04714	1.25236	0.314192
4389	2.37006	1.04489	1.25094	0.313363
4408	2.38032	1.04266	1.24953	0.312542
4427	2.39058	1.04045	1.24813	0.311736
4446	2.40084	1.03826	1.24674	0.310933
4465	2.4111	1.03609	1.24536	0.310137
4484	2.42136	1.03393	1.244	0.309349
4503	2.43162	1.0318	1.24264	0.308575
4522	2.44188	1.02969	1.2413	0.307805
4541	2.45214	1.02759	1.23997	0.307041
4560	2.4624	1.02552	1.23865	0.306284
4579	2.47266	1.02346	1.23734	0.305542
4598	2.48292	1.02142	1.23604	0.304802
4617	2.49318	1.0194	1.23475	0.304069
4636	2.50344	1.0174	1.23347	0.303343
4655	2.5137	1.01541	1.23221	0.30263
4674	2.52396	1.01345	1.23095	0.30192
4693	2.53422	1.0115	1.2297	0.301216
4712	2.54448	1.00957	1.22847	0.300519
4731	2.55474	1.00765	1.22724	0.299835
4750	2.565	1.00576	1.22603	0.299153
4769	2.57526	1.00387	1.22482	0.298477
4788	2.58552	1.00201	1.22363	0.297807
4807	2.59578	1.00016	1.22244	0.29715
4826	2.60604	0.99833	1.22126	0.296494
4845	2.6163	0.996514	1.2201	0.295844
4864	2.62656	0.994715	1.21894	0.2952
4883	2.63682	0.992929	1.21779	0.294568
4902	2.64708	0.991159	1.21665	0.293938
4921	2.65734	0.989405	1.21552	0.293313
4940	2.6676	0.987666	1.2144	0.292693
4959	2.67786	0.985941	1.21329	0.292085
4978	2.68812	0.98423	1.21218	0.291479
4997	2.69838	0.982534	1.21109	0.290877
5016	2.70864	0.980853	1.21	0.29028
5035	2.7189	0.979184	1.20892	0.289695
5054	2.72916	0.97753	1.20785	0.289111
5073	2.73942	0.975889	1.20679	0.288531
5092	2.74968	0.974261	1.20573	0.287962
5111	2.75994	0.972646	1.20469	0.287394
5130	2.7702	0.971045	1.20365	0.286829
5149	2.78046	0.969457	1.20262	0.286269
5168	2.79072	0.96788	1.20159	0.285721
5187	2.80098	0.966316	1.20058	0.285173
5206	2.81124	0.964765	1.19957	0.284628
5225	2.8215	0.963226	1.19857	0.284088
5244	2.83176	0.961698	1.19758	0.283558
5263	2.84202	0.960182	1.19659	0.283029
5282	2.85228	0.958678	1.19561	0.282503
5301	2.86254	0.957184	1.19464	0.281987
5320	2.8728	0.955702	1.19367	0.281471
5339	2.88306	0.954232	1.19271	0.280958
5358	2.89332	0.952773	1.19176	0.28045
5377	2.90358	0.951324	1.19081	0.279951
5396	2.91384	0.949885	1.18987	0.279452
5415	2.9241	0.948457	1.18894	0.278956
5434	2.93436	0.947039	1.18801	0.27847
5453	2.94462	0.945631	1.18709	0.277983
5472	2.95488	0.944234	1.18618	0.277498
5491	2.96514	0.942847	1.18527	0.277018
5510	2.9754	0.941469	1.18437	0.276547
5529	2.98566	0.9401	1.18347	0.276075
5548	2.99592	0.938742	1.18258	0.275606
5567	3.00618	0.937393	1.18169	0.27514
5586	3.01644	0.936052	1.18081	0.274684
5605	3.0267	0.93472	1.17994	0.274227
5624	3.03696	0.933398	1.17907	0.273772
5643	3.04722	0.932084	1.17821	0.273326
5662	3.05748	0.930779	1.17735	0.272879
5681	3.06774	0.929483	1.17649	0.272434
5700	3.078	0.928196	1.17565	0.271992
5719	3.08826	0.926916	1.1748	0.27156
5738	3.09852	0.925644	1.17397	0.271126
5757	3.10878	0.924381	1.17313	0.270694
5776	3.11904	0.923126	1.17231	0.27027
5795	3.1293	0.921878	1.17148	0.269846
5814	3.13956	0.920639	1.17066	0.269423
5833	3.14982	0.919407	1.16985	0.269009
5852	3.16008	0.918182	1.16904	0.268593
5871	3.17034	0.916966	1.16824	0.268179
5890	3.1806	0.915757	1.16744	0.267767
5909	3.19086	0.914554	1.16664	0.267364
5928	3.20112	0.913359	1.16585	0.26696
5947	3.21138	0.912172	1.16507	0.266557
5966	3.22164	0.91099	1.16428	0.266162
5985	3.2319	0.909816	1.1635	0.265766
6004	3.24216	0.908649	1.16273	0.26537
6023	3.25242	0.907489	1.16196	0.264978
6042	3.26268	0.906335	1.1612	0.264593
6061	3.27294	0.905187	1.16043	0.264208
6080	3.2832	0.904046	1.15968	0.263822
6099	3.29346	0.902912	1.15892	0.263445
6118	3.30372	0.901783	1.15817	0.263066
6137	3.31398	0.900661	1.15743	0.262689
6156	3.32424	0.899545	1.15668	0.262319
6175	3.3345	0.898435	1.15595	0.261947
6194	3.34476	0.897332	1.15521	0.261576
6213	3.35502	0.896234	1.15448	0.261207
6232	3.36528	0.895142	1.15375	0.260847
6251	3.37554	0.894055	1.15303	0.260484
6270	3.3858	0.892975	1.15231	0.260122
6289	3.39606	0.891899	1.15159	0.259768
6308	3.40632	0.890829	1.15088	0.259412
6327	3.41658	0.889766	1.15017	0.259056
6346	3.42684	0.888707	1.14946	0.258708
