TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
2622	1.41588	1.18055	1.33465	0.365274
2641	1.42614	1.18054	1.33465	0.365272
2660	1.4364	1.18052	1.33463	0.365274
2679	1.44666	1.18051	1.33463	0.365272
2698	1.45692	1.1805	1.33462	0.365274
2717	1.46718	1.18049	1.33462	0.365274
2736	1.47744	1.18049	1.33461	0.365272
2755	1.4877	1.18047	1.3346	0.365274
2774	1.49796	1.18047	1.3346	0.365273
2793	1.50822	1.18046	1.3346	0.365273
2812	1.51848	1.18045	1.33459	0.365274
2831	1.52874	1.18045	1.33459	0.365274
2850	1.539	1.18045	1.33459	0.365272
2869	1.54926	1.18044	1.33458	0.365274
2888	1.55952	1.18043	1.33458	0.365274
2907	1.56978	1.18043	1.33458	0.365273
2926	1.58004	1.18043	1.33458	0.365272
2945	1.5903	1.18042	1.33457	0.365274
2964	1.60056	1.18042	1.33457	0.365274
2983	1.61082	1.18042	1.33457	0.365273
3002	1.62108	1.18042	1.33457	0.365272
3021	1.63134	1.18041	1.33457	0.365274
3040	1.6416	1.18041	1.33456	0.365274
3059	1.65186	1.18041	1.33456	0.365273
3078	1.66212	1.18041	1.33457	0.365272
3097	1.67238	1.1804	1.33456	0.365274
3116	1.68264	1.1804	1.33456	0.365274
3135	1.6929	1.18039	1.33456	0.365273
3154	1.70316	1.1804	1.33456	0.365272
3173	1.71342	1.1804	1.33456	0.365272
3192	1.72368	1.18039	1.33456	0.365274
3211	1.73394	1.18039	1.33456	0.365274
3230	1.7442	1.18039	1.33456	0.365273
3249	1.75446	1.1803	1.33451	0.365229
3268	1.76472	1.17989	1.33428	0.365043
3287	1.77498	1.1793	1.33394	0.364788
3306	1.78524	1.17852	1.33348	0.364465
3325	1.7955	1.17758	1.33292	0.364077
3344	1.80576	1.17648	1.33227	0.363628
3363	1.81602	1.17522	1.33151	0.363121
3382	1.82628	1.17382	1.33068	0.362559
3401	1.83654	1.17229	1.32975	0.361947
3420	1.8468	1.17064	1.32876	0.361287
3439	1.85706	1.16887	1.32769	0.360582
3458	1.86732	1.16698	1.32655	0.359843
3477	1.87758	1.165	1.32535	0.359059
3496	1.88784	1.16293	1.32409	0.358241
3515	1.8981	1.16078	1.32279	0.357393
3534	1.90836	1.15855	1.32143	0.356516
3553	1.91862	1.15625	1.32003	0.355613
3572	1.92888	1.15389	1.3186	0.354687
3591	1.93914	1.15147	1.31712	0.353742
3610	1.9494	1.14901	1.31562	0.352778
3629	1.95966	1.1465	1.31409	0.351806
3648	1.96992	1.14395	1.31253	0.350814
3667	1.98018	1.14137	1.31096	0.349813
3686	1.99044	1.13877	1.30936	0.348801
3705	2.0007	1.13614	1.30775	0.347781
3724	2.01096	1.13349	1.30613	0.346756
3743	2.02122	1.13083	1.30449	0.345732
3762	2.03148	1.12815	1.30285	0.344699
3781	2.04174	1.12547	1.3012	0.343665
3800	2.052	1.12278	1.29954	0.34263
3819	2.06226	1.12008	1.29788	0.341595
3838	2.07252	1.11739	1.29622	0.340561
3857	2.08278	1.1147	1.29456	0.339535
3876	2.09304	1.11201	1.2929	0.338508
3895	2.1033	1.10932	1.29124	0.337483
3914	2.11356	1.10665	1.28958	0.336462
3933	2.12382	1.10398	1.28793	0.335446
3952	2.13408	1.10132	1.28628	0.334441
3971	2.14434	1.09868	1.28464	0.333438
3990	2.1546	1.09604	1.283	0.332439
4009	2.16486	1.09342	1.28138	0.331447
4028	2.17512	1.09082	1.27975	0.330462
4047	2.18538	1.08823	1.27814	0.329491
4066	2.19564	1.08566	1.27654	0.328522
4085	2.2059	1.0831	1.27494	0.327559
4104	2.21616	1.08056	1.27336	0.326604
4123	2.22642	1.07804	1.27178	0.325663
4142	2.23668	1.07553	1.27021	0.324725
4161	2.24694	1.07305	1.26866	0.323796
4180	2.2572	1.07058	1.26711	0.322874
4199	2.26746	1.06814	1.26558	0.32196
4218	2.27772	1.06571	1.26406	0.321061
4237	2.28798	1.0633	1.26254	0.320166
4256	2.29824	1.06091	1.26104	0.319278
4275	2.3085	1.05855	1.25955	0.318399
4294	2.31876	1.0562	1.25807	0.317534
4313	2.32902	1.05387	1.25661	0.316673
4332	2.33928	1.05156	1.25515	0.315819
4351	2.34954	1.04927	1.25371	0.314974
4370	2.3598	1.047	1.25227	0.314143
4389	2.37006	1.04476	1.25085	0.313315
4408	2.38032	1.04253	1.24944	0.312496
4427	2.39058	1.04032	1.24804	0.311684
4446	2.40084	1.03813	1.24666	0.310881
4465	2.4111	1.03596	1.24528	0.310091
4484	2.42136	1.03381	1.24392	0.309305
4503	2.43162	1.03168	1.24256	0.308526
4522	2.44188	1.02957	1.24122	0.307755
4541	2.45214	1.02747	1.23989	0.306998
4560	2.4624	1.0254	1.23857	0.306243
4579	2.47266	1.02334	1.23726	0.305496
4598	2.48292	1.02131	1.23596	0.304755
4617	2.49318	1.01929	1.23468	0.304028
4636	2.50344	1.01728	1.2334	0.303304
4655	2.5137	1.0153	1.23213	0.302586
4674	2.52396	1.01334	1.23088	0.301875
4693	2.53422	1.01139	1.22963	0.301178
4712	2.54448	1.00946	1.2284	0.300482
4731	2.55474	1.00755	1.22717	0.299793
4750	2.565	1.00565	1.22596	0.29911
4769	2.57526	1.00377	1.22475	0.29844
4788	2.58552	1.00191	1.22356	0.297772
4807	2.59578	1.00006	1.22237	0.297109
4826	2.60604	0.998229	1.2212	0.296453
4845	2.6163	0.996413	1.22003	0.295809
4864	2.62656	0.994614	1.21887	0.295167
4883	2.63682	0.99283	1.21773	0.29453
4902	2.64708	0.991061	1.21659	0.293905
4921	2.65734	0.989308	1.21546	0.293281
4940	2.6676	0.98757	1.21434	0.292661
4959	2.67786	0.985846	1.21322	0.292048
4978	2.68812	0.984136	1.21212	0.291447
4997	2.69838	0.98244	1.21102	0.290846
5016	2.70864	0.98076	1.20994	0.29025
5035	2.7189	0.979093	1.20886	0.28966
5054	2.72916	0.977439	1.20779	0.28908
5073	2.73942	0.975798	1.20673	0.288502
5092	2.74968	0.974172	1.20568	0.287927
5111	2.75994	0.972559	1.20463	0.287358
5130	2.7702	0.970958	1.20359	0.286799
5149	2.78046	0.969369	1.20256	0.286242
5168	2.79072	0.967794	1.20154	0.285687
5187	2.80098	0.966231	1.20052	0.285144
5206	2.81124	0.96468	1.19952	0.284601
5225	2.8215	0.963141	1.19852	0.284061
5244	2.83176	0.961615	1.19752	0.283526
5263	2.84202	0.960099	1.19654	0.283002
5282	2.85228	0.958595	1.19556	0.282477
5301	2.86254	0.957103	1.19458	0.281956
5320	2.8728	0.955623	1.19362	0.281438
5339	2.88306	0.954152	1.19266	0.280932
5358	2.89332	0.952693	1.19171	0.280424
5377	2.90358	0.951245	1.19076	0.27992
5396	2.91384	0.949806	1.18982	0.279426
5415	2.9241	0.948379	1.18889	0.278932
5434	2.93436	0.946962	1.18796	0.27844
5453	2.94462	0.945556	1.18704	0.277951
5472	2.95488	0.944158	1.18613	0.277473
5491	2.96514	0.942771	1.18522	0.276994
5510	2.9754	0.941394	1.18432	0.276518
5529	2.98566	0.940026	1.18342	0.276051
5548	2.99592	0.938667	1.18253	0.275583
5567	3.00618	0.937318	1.18164	0.275118
5586	3.01644	0.935979	1.18076	0.274656
5605	3.0267	0.934648	1.17989	0.274203
5624	3.03696	0.933326	1.17902	0.27375
5643	3.04722	0.932013	1.17816	0.273298
5662	3.05748	0.930708	1.1773	0.272856
5681	3.06774	0.929412	1.17645	0.272413
5700	3.078	0.928125	1.1756	0.271971
5719	3.08826	0.926846	1.17476	0.271533
5738	3.09852	0.925575	1.17392	0.271104
5757	3.10878	0.924312	1.17309	0.270673
5776	3.11904	0.923057	1.17226	0.270244
5795	3.1293	0.92181	1.17144	0.269824
5814	3.13956	0.920571	1.17062	0.269402
5833	3.14982	0.91934	1.16981	0.268983
5852	3.16008	0.918116	1.169	0.268565
5871	3.17034	0.916899	1.16819	0.268157
5890	3.1806	0.91569	1.16739	0.267747
5909	3.19086	0.914489	1.1666	0.267339
5928	3.20112	0.913294	1.16581	0.266939
5947	3.21138	0.912106	1.16502	0.266537
5966	3.22164	0.910925	1.16424	0.266137
5985	3.2319	0.909752	1.16346	0.265739
6004	3.24216	0.908584	1.16269	0.265351
6023	3.25242	0.907424	1.16192	0.264959
6042	3.26268	0.906271	1.16115	0.264569
6061	3.27294	0.905124	1.16039	0.264187
6080	3.2832	0.903983	1.15963	0.263804
6099	3.29346	0.902849	1.15888	0.263421
6118	3.30372	0.901721	1.15813	0.263047
6137	3.31398	0.900599	1.15738	0.262671
6156	3.32424	0.899483	1.15664	0.262295
6175	3.3345	0.898374	1.15591	0.261922
6194	3.34476	0.89727	1.15517	0.261559
6213	3.35502	0.896172	1.15444	0.26119
6232	3.36528	0.895081	1.15371	0.260824
6251	3.37554	0.893994	1.15299	0.260465
6270	3.3858	0.892914	1.15227	0.260105
6289	3.39606	0.891839	1.15155	0.259745
6308	3.40632	0.890769	1.15084	0.259393
6327	3.41658	0.889705	1.15013	0.259039
6346	3.42684	0.888647	1.14942	0.258685
6365	3.4371	0.887594	1.14872	0.25834
6384	3.44736	0.886546	1.14802	0.257992
6403	3.45762	0.885504	1.14732	0.257644
6422	3.46788	0.884467	1.14663	0.257299
6441	3.47814	0.883434	1.14593	0.256961
6460	3.4884	0.882406	1.14525	0.256621
6479	3.49866	0.881385	1.14456	0.256281
6498	3.50892	0.880367	1.14388	0.255949
6517	3.51918	0.879354	1.1432	0.255614
6536	3.52944	0.878347	1.14253	0.25528
6555	3.5397	0.877344	1.14185	0.254954
6574	3.54996	0.876345	1.14118	0.254624
6593	3.56022	0.875352	1.14052	0.254295
6612	3.57048	0.874362	1.13985	0.253974
6631	3.58074	0.873378	1.13919	0.25365
6650	3.591	0.872398	1.13853	0.253327
6669	3.60126	0.871423	1.13788	0.253004
6688	3.61152	0.870451	1.13723	0.252692
6707	3.62178	0.869484	1.13658	0.252373
6726	3.63204	0.868522	1.13593	0.252056
6745	3.6423	0.867563	1.13528	0.251746
6764	3.65256	0.866609	1.13464	0.251434
6783	3.66282	0.865659	1.134	0.251122
6802	3.67308	0.864713	1.13336	0.250817
6821	3.68334	0.863771	1.13273	0.250509
6840	3.6936	0.862834	1.1321	0.250201
